"ProcessId","ParentProcessId","CommandLine"
"11168","9156","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --disable-application-cache --disable-background-networking --disable-background-timer-throttling --disable-backgrounding-occluded-windows --disable-breakpad --disable-component-extensions-with-background-pages --disable-component-update --disable-crash-reporter --disable-extensions --disable-features=translate,msWebOOUI,msPdfOOUI,msSmartScreenProtection,RendererAppContainer,BackForwardCache,InterestCohort,SharedArrayBuffer,CalculateNativeWinOcclusion,OptimizationHints,AutofillServerCommunication,PaintHolding --disable-ipc-flooding-protection --disable-site-isolation-trials --disable-sync --disk-cache-size=0 --enable-accelerated-video-decode --enable-gpu --enable-gpu-rasterization --enable-native-gpu-memory-buffers --enable-oop-rasterization --enable-zero-copy --media-cache-size=0 --no-first-run --no-pings --use-angle=d3d11 --lang=zh-CN --mojo-named-platform-channel-pipe=9156.9312.15926783970733185389 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b"
"11372","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView /prefetch:4 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView\Crashpad --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=151.0.7922.174 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=151.0.4129.107 --initial-client-data=0x174,0x178,0x17c,0x150,0x184,0x7ffd1dbb65f0,0x7ffd1dbb6600,0x7ffd1dbb6610"
"11884","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=gpu-process --disable-breakpad --enable-gpu-rasterization --use-angle=d3d11 --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --gpu-preferences=WAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAACCAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAAEAAAAAIAAAABAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --startup-read-main-dll --metrics-shmem-handle=1372,i,652431047753477284,8599404498917244536,262144 --field-trial-handle=1960,i,7892273521266639277,8575744208343445000,262144 --disable-features=AutofillServerCommunication,BackForwardCache,CalculateNativeWinOcclusion,InterestCohort,OptimizationHints,PaintHolding,RendererAppContainer,SharedArrayBuffer,msPdfOOUI,msSmartScreenProtection,msWebOOUI,translate --variations-seed-version --pseudonymization-salt-handle=1988,i,9591194472316384776,7426541832340710967,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1952 /prefetch:2 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b"
"11900","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=zh-CN --service-sandbox-type=none --use-angle=d3d11 --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --startup-read-main-dll --metrics-shmem-handle=2208,i,6709626562300113716,10173608065490066784,524288 --field-trial-handle=1960,i,7892273521266639277,8575744208343445000,262144 --disable-features=AutofillServerCommunication,BackForwardCache,CalculateNativeWinOcclusion,InterestCohort,OptimizationHints,PaintHolding,RendererAppContainer,SharedArrayBuffer,msPdfOOUI,msSmartScreenProtection,msWebOOUI,translate --variations-seed-version --pseudonymization-salt-handle=1988,i,9591194472316384776,7426541832340710967,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2200 /prefetch:11 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b"
"11992","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=zh-CN --service-sandbox-type=service --use-angle=d3d11 --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --startup-read-main-dll --metrics-shmem-handle=2576,i,5153919826481379824,1244944682810604847,524288 --field-trial-handle=1960,i,7892273521266639277,8575744208343445000,262144 --disable-features=AutofillServerCommunication,BackForwardCache,CalculateNativeWinOcclusion,InterestCohort,OptimizationHints,PaintHolding,RendererAppContainer,SharedArrayBuffer,msPdfOOUI,msSmartScreenProtection,msWebOOUI,translate --variations-seed-version --pseudonymization-salt-handle=1988,i,9591194472316384776,7426541832340710967,4 --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2588 /prefetch:13 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b"
"12196","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --disable-background-timer-throttling --disable-breakpad --video-capture-use-gpu-memory-buffer --lang=zh-CN --js-flags=--expose-gc --device-scale-factor=1.25 --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1788320758826560 --launch-time-ticks=25090479 --ssd-no-pressure-read-main-dll --metrics-shmem-handle=3872,i,694701983833206865,13425538933175933477,2097152 --field-trial-handle=1960,i,7892273521266639277,8575744208343445000,262144 --disable-features=AutofillServerCommunication,BackForwardCache,CalculateNativeWinOcclusion,InterestCohort,OptimizationHints,PaintHolding,RendererAppContainer,SharedArrayBuffer,msPdfOOUI,msSmartScreenProtection,msWebOOUI,translate --variations-seed-version --pseudonymization-salt-handle=1988,i,9591194472316384776,7426541832340710967,4 --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3908 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b /prefetch:1"
"10300","8392","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --user-data-dir=""C:\Users\liuqi\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --disable-features=msSmartScreenProtection --edge-webview-enable-mojo-ipcz --enable-features=msEdgeFluentOverlayScrollbar --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 151.0.4129.107)"" --lang=zh-Hans-CN --mojo-named-platform-channel-pipe=8392.11432.4595126528727763747 /pfhostedapp:f964ac8cc2515d512df413858e889bbd4cb7528f"
"10392","10300","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\liuqi\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView /prefetch:4 /pfhostedapp:f964ac8cc2515d512df413858e889bbd4cb7528f --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\liuqi\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView\Crashpad --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=151.0.7922.174 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=151.0.4129.107 --initial-client-data=0x170,0x174,0x178,0x14c,0x180,0x7ffd1dbb65f0,0x7ffd1dbb6600,0x7ffd1dbb6610"
"12576","10300","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=gpu-process --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 151.0.4129.107)"" --user-data-dir=""C:\Users\liuqi\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --embedded-browser-webview=1 --gpu-preferences=WAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAAEAAAAAIAAAABAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --always-read-main-dll --metrics-shmem-handle=1972,i,16552560321965571660,13368804308182821905,262144 --field-trial-handle=2072,i,7920054274305351473,6091783177078901645,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --pseudonymization-salt-handle=2080,i,5968222013923878143,16069199171708464933,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=2064 /prefetch:2 /pfhostedapp:f964ac8cc2515d512df413858e889bbd4cb7528f"
"12584","10300","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=zh-CN --service-sandbox-type=none --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 151.0.4129.107)"" --user-data-dir=""C:\Users\liuqi\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --embedded-browser-webview=1 --always-read-main-dll --metrics-shmem-handle=2328,i,13623205258550175212,10352791365555347330,524288 --field-trial-handle=2072,i,7920054274305351473,6091783177078901645,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --pseudonymization-salt-handle=2080,i,5968222013923878143,16069199171708464933,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2332 /prefetch:11 /pfhostedapp:f964ac8cc2515d512df413858e889bbd4cb7528f"
